"['Haliangium', 'ochraceum']","['Haliangium', 'ochraceum', 'DSM', '14365']"
"['Clostridium', 'hylemonae']","['Clostridium', 'sporogenes', 'ATCC', '15579']"
"['Clostridium', 'hylemonae']","['Clostridium', 'sp.', 'CAG:567']"
"['Clostridium', 'thermosuccinogenes']","['Clostridium', 'beijerinckii']"
"['Clostridium', 'thermosuccinogenes']","['Clostridium', 'botulinum', 'A', 'str.', 'ATCC', '3502']"
"['Clostridium', 'thermosuccinogenes']","['Clostridium', 'sporogenes', 'ATCC', '15579']"
"['Clostridium', 'thermosuccinogenes']","['Clostridium', 'sp.', 'CAG:567']"
"['Bacillus', 'azotoformans']","['Bacillus', 'velezensis', 'FZB42']"
"['Bacillus', 'azotoformans']","['Bacillus', 'subtilis', 'subsp.', 'subtilis', 'str.', '168']"
"['Bacillus', 'azotoformans']","['Bacillus', 'licheniformis']"
"['Bacillus', 'azotoformans']","['Bacillus', 'cereus']"
"['Bacillus', 'azotoformans']","['Bacillus', 'sp.', 'NK2003']"
"['Bacillus', 'azotoformans']","['Bacillus', 'licheniformis', 'DSM', '13', '=', 'ATCC', '14580']"
"['Bacillus', 'azotoformans']","['Bacillus', 'subtilis', 'subsp.', 'subtilis']"
"['Bacillus', 'azotoformans']","['Bacillus', 'subtilis', 'subsp.', 'spizizenii']"
"['Bacillus', 'azotoformans']","['Bacillus', 'subtilis']"
"['Bacillus', 'azotoformans']","['Bacillus', 'halodurans', 'C-125']"
"['Bacillus', 'azotoformans']","['Bacillus', 'sp.', 'HIL-Y85/54728']"
"['Bacillus', 'azotoformans']","['Bacillus', 'subtilis', 'subsp.', 'spizizenii', 'ATCC', '6633']"
"['Bacillus', 'azotoformans']","['Bacillus', 'thuringiensis']"
"['Bacillus', 'azotoformans']","['Bacillus', 'cereus', 'ATCC', '14579']"
"['Bacillus', 'azotoformans']","['Bacillus', 'coagulans']"
"['Bacillus', 'azotoformans']","['Bacillus', 'megaterium']"
"['Bacillus', 'azotoformans']","['Bacillus', 'circulans']"
"['Bacillus', 'azotoformans']","['Bacillus', 'sp.', 'CS93']"
"['Bacillus', 'azotoformans']","['Bacillus', 'anthracis', 'str.', 'Ames']"
"['Bacillus', 'azotoformans']","['Bacillus', 'pumilus', 'ATCC', '7061']"
"['Bacillus', 'azotoformans']","['Bacillus', 'pseudomycoides', 'DSM', '12442']"
"['Bacillus', 'azotoformans']","['Bacillus', 'thuringiensis', 'serovar', 'rongseni']"
"['Bacillus', 'azotoformans']","['Bacillus', 'cereus', 'SJ1']"
"['Bacillus', 'azotoformans']","['Bacillus', 'sp.', '2_A_57_CT2']"
"['Bacillus', 'azotoformans']","['Bacillus', 'thuringiensis', 'serovar', 'chinensis', 'CT-43']"
"['Bacillus', 'azotoformans']","['Bacillus', 'cereus', 'BAG2O-1']"
"['Bacillus', 'azotoformans']","['Bacillus', 'mycoides']"
"['Bacillus', 'azotoformans']","['Bacillus', 'thuringiensis', 'serovar', 'huazhongensis', 'BGSC', '4BD1']"
"['Rhodobacter', 'megalophilus']","['Rhodobacter', 'sphaeroides']"
"['Rhodobacter', 'megalophilus']","['Rhodobacter', 'capsulatus']"
"['Lactobacillus', 'mellifer']","['Lactobacillus', 'plantarum']"
"['Lactobacillus', 'mellifer']","['Lactobacillus', 'acidophilus']"
"['Lactobacillus', 'mellifer']","['Lactobacillus', 'gasseri']"
"['Lactobacillus', 'mellifer']","['Lactobacillus', 'sakei']"
"['Lactobacillus', 'mellifer']","['Lactobacillus', 'salivarius']"
"['Lactobacillus', 'mellifer']","['Lactobacillus', 'paragasseri', 'JV-V03']"
"['Lactobacillus', 'mellifer']","['Lactobacillus', 'johnsonii']"
"['Lactobacillus', 'mellifer']","['Lactobacillus', 'rhamnosus', 'GG']"
"['Lactobacillus', 'mellifer']","['Lactobacillus', 'plantarum', 'subsp.', 'plantarum']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'nodosus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'eurythermus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'thioluteus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'avermitilis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'viridochromogenes', 'Tue57']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lohii']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'DSM', '21069']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'parvulus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'chartreusis', 'NRRL', '3882']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'FR-008']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'bikiniensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'antibioticus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'coelicolor', 'A3(2)']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'neyagawaensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'MJ635-86F5']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'KCTC', '0041BP']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'aculeolatus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'aizunensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'graminofaciens']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'avermitilis', 'MA-4680', '=', 'NBRC', '14893']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'pulveraceus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'galbus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'hygroscopicus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'hygroscopicus', 'subsp.', 'duamyceticus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'halstedii']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'LZ35']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'ML694-90F3']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'amphibiosporus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CS684']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'rochei']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lasaliensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CNQ-617']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'nanchangensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'venezuelae']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'mycarofaciens']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'MP39-85']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cinnamonensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CS']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'chattanoogensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cyaneogriseus', 'subsp.', 'noncyanogenus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'orinoci']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'carzinostaticus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'carzinostaticus', 'subsp.', 'neocarzinostaticus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'caelestis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'violaceusniger']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'noursei', 'ATCC', '11455']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'pactum']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'HK803']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'piomogenus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'natalensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'platensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'vitaminophilus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'UC', '11065']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SN-593']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'diastaticus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', '88-682']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'achromogenes', 'subsp.', 'rubradiris']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'albus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'ambofaciens', 'ATCC', '23877']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CK4412']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'griseochromogenes']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'spiroverticillatus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'longisporoflavus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', '11266']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'fradiae']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'himastatinicus', 'ATCC', '53653']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'YIM', '56141']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'platensis', 'subsp.', 'rosaceus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'nodosus', 'subsp.', 'asukaensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SANK', '61196']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'galilaeus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CM020']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'echinatus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'aureofaciens']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'A2991200']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'chartreusis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'griseus', 'subsp.', 'griseus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'albaduncus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SPB074']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'aureus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'olindensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cyaneus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'peucetius']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'olivaceus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'maritimus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'TA-0256']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'griseus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'roseofulvus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'griseoflavus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'violaceoruber']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lusitanus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'JP95']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', '2238-SVT4']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'griseoruber']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'venezuelae', 'ATCC', '10712']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'W007']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'murayamaensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sanglieri']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'rishiriensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cyanogenus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'tendae']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'AM-7161']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'argillaceus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'arenae']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'nogalater']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'rimosus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'griseoviridis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'R1128']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'PGA64']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'ravidus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'resistomycificus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'purpurascens']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'collinus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SCC', '2136']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SF2575']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'steffisburgensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'glaucescens']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'flavogriseus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'griseus', 'subsp.', 'griseus', 'NBRC', '13350']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'KO-3988']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SANK', '62799']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'toyocaensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'anulatus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'AA4']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'refuineus', 'subsp.', 'thermotolerans']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'filamentosus', 'NRRL', '11379']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'clavuligerus', 'ATCC', '27064']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lavendulae']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'fungicidicus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'MA6548']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'L-49973']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', 'F-4415']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'ATCC', '700974']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'chromofuscus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'Sp080513GE-23']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'viridochromogenes']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'toxytricini']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'albus', 'subsp.', 'albus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'melanovinaceus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'griseovariabilis', 'subsp.', 'bandungensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'scabiei', '87.22']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'Acta', '2897']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'filamentosus', 'NRRL', '15998']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SNA15896']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'turgidiscabies', 'Car8']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'achromogenes']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'triostinicus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'tsusimaensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'vinaceus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'TP-A2060']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'bottropensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'BC16019']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'WMMB', '272']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cinnamoneus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'viridochromogenes', 'DSM', '40736']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'albidoflavus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'TP-A0584']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sviceus', 'ATCC', '29083']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'OH-4156']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lividans', 'TK24']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'e14']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'diastatochromogenes', 'Tü6028']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'ATCC', '55365']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lactacystinaeus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'actuosus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sioyaensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'laurentii']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'olivoviridis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'argenteolus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CNQ525']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'Tu6071']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'HKI0576']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SCSIO', '02999']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'melanosporofaciens']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'hygroscopicus', 'subsp.', 'hygroscopicus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'tenjimariensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'hygroscopicus', 'subsp.', 'yingchengensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'kanamyceticus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'kasugaensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lividus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'fradiae', 'ATCC', '10745', '=', 'DSM', '40063']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'rimosus', 'subsp.', 'paromomycinus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'ribosidificus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'spectabilis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'netropsis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'hygroscopicus', 'subsp.', 'jinggangensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'hygroscopicus', 'subsp.', 'limoneus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'coelicoflavus', 'ZG0656']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'viridosporus', 'ATCC', '14672']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'griseofuscus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'TP-A0274']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'roseochromogenus', 'subsp.', 'oscitans', 'DS', '12.976']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'niveus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'clavuligerus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cattleya']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'acidiscabies']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SANK', '60405']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cacaoi', 'subsp.', 'asoensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'alboniger']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'ahygroscopicus', 'subsp.', 'wuzhouensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'rimofaciens']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'arginensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'tsukubensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'WK-5344']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lavendulae', 'subsp.', 'lavendulae']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'luridus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'narbonensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'rubellomurinus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lincolnensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'xiamenensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'WM6372']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'DSM', '5940']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'coeruleorubidus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'vinaceusdrappus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'XZQH13']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'S4']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sahachiroi']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'verticillus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'globisporus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cinnabarigriseus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CS40']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'hygroscopicus', 'subsp.', 'ascomyceticus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SPB78']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'K01-0509']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'roseoverticillatus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SCSIO', '01127']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', '30748']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', '30471']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'MK498-98F14']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'pyridomyceticus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'rapamycinicus', 'NRRL', '5491']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'flaveolus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lydicus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', '307-9']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'flavoviridis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'diastatochromogenes']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'collinus', 'Tu', '365']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SN-1061M']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CNH189']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'blastmyceticus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'atroolivaceus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'virginiae']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'mobaraensis', 'NBRC', '13819', '=', 'DSM', '40847']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', 'WC-3908']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cirratus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CNQ-418']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lividans', '1326']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SCSIO', '03032']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CNH-287']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'FXJ7.023']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CT34']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'scabrisporus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'scopuliridis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NBRC', '109706']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'versipellis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'Tu', '6176']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'drozdowiczii']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'conglobatus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CNQ431']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'qinglanensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CNQ-509']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'bingchenggensis', 'BCW-1']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CNB091']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'DSM', '11171']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'afghaniensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'leeuwenhoekii']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', '12068']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NCIB', '11649']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'MBT28']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cremeus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'MSC090213JE08']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'calvus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CNH365']"
